年份,地区生产总值,第一产业,第二产业,第三产业,工 业,建筑业,人均地区生产总值
2010,33922.49,3411.34,17733.08,12778.07,15449.95,2283.13,35599
2011,39064.93,3768.55,19926.11,15370.27,17280.78,2645.33,40581
2012,42957.31,4047.06,21275.89,17634.36,18421.9,2853.99,44348
2013,47344.33,4454.11,22615.89,20274.33,19475.3,3188.6,48673
2014,50774.84,4662.81,23588.02,22524.01,20178.23,3476.06,51933
2015,55288.79,4902.82,24814.88,25571.09,21156.5,3731.63,56205
2016,58762.46,4830.25,25565.04,28367.17,21695.98,3909.44,59239
2017,63012.1,4832.71,26925.59,31253.8,22515.81,4441.01,62993
2018,66648.87,4950.52,27523.67,34174.68,22613.01,5024.9,66284
2019,70540.48,5116.99,28171.78,37251.71,22755.13,5532.77,69901
2020,72798.17,5364.35,28456.66,38977.16,22986.45,5574.19,71825
2021,82875.17,6029.03,32834.49,44011.65,26894.08,6068.1,81510
2022,87576.93,6296.5,34562.34,46718.09,28296.99,6391.34,86143
2023,92068.7,6506.19,35987.92,49574.59,29191.15,6961.09,90771
