标题,发布时间,内容,浏览量,来源列表页,链接
,,,,33,https://www.suet.edu.cn/xxyw.htm
章丘大学园区管理服务中心副主任宋万意一行检查指导我校新型冠状病毒感染的肺炎疫情防控工作, 发布时间: 2020-02-07,"
2月6日上午10
时
，
章丘大学园区管理服务中心副主任宋万意一行
对我校疫情防控
工作
进行全面督导
检查。我校疫情防控领导小组副组长、副校长李梅松，办公室、保卫处、学生处、后勤基建处等部门人员陪同检查。
检查组
先后来到学校北门、教学楼区、学生公寓区
等
察看了疫情防控工作开展情况，随后在疫情防控工作指挥部
办公室
召开
了
会议。
会上，李梅松副校长
详细汇报了我校面对此次疫情采取的防控措施、物资配备、师生健康动态
及开学筹备
等情况
。
我校
严格
按照
省、市、区
相关
部门
要求，严格落实防控措施，特别是在师生动态管控、门禁管理、消毒消杀、隔离
室
设置、物资储备、开学预案、
物业管理
等方面做好相关工作，
进一步
规范完善相应的档案材料。
宋万意副主任传达了章丘区委区政府对高校做好疫情防控的指示精神，并对学校下一步防控工作提出了具体要求，
强调要充分认识当前
高校
疫情防控形势的严峻性、复杂性、艰巨性，坚决克服麻痹懈怠思想
，严格
落实每一项措施，
不留任何死角，
确保职责任务明确、工作过程细致、重点环节抓实、统筹分工合理
，全力做好开学前疫情防控各项准备工作，
坚决打赢疫情防控这场硬仗
，确保
全校师生生命健康安全
。
最后，李梅松
副
校长召开
了疫情防控各工作组组长
紧急会议，
要求各组进一步细化工作
预案，拿出有针对性、可操作性强的
措施
，确保务实管用
；要建立
疫情防控工作台账，
对
全体师生
，物业、基建、食堂，校内营业点等人员进行
全面摸排
、动态监测
，加强对值班人员和物业人员疫情防控知识培训，进行校园环境全面清洁与消毒
；
要
进一步加强全体师生
宣传
教育
，讲清如何防控、如何自我
防护，
切实增强公众科学防护意识和能力，营造良好舆论氛围
；进一步强化封校管理，
管控好校园入口，对
出入人员
做好
体温检测、车辆消毒及
登记工作，
全力
创建平安校园。
学校
新型冠状病毒感染的肺炎疫情
防控工作领导小组
2020年2月6日

",,32,https://www.suet.edu.cn/info/1026/2434.htm
关于成立山东工程职业技术大学新型冠状病毒感染的肺炎疫情防控期间线上教学工作领导小组的通知, 发布时间: 2020-02-04,"
为进一步做好新型冠状病毒感染肺炎的疫情防控工作，减少疫情对教学秩序的冲击，做好
2019—2020学年春季学期学生延期返校期间线上教学工作，确保教学任务圆满完成，学校研究决定成立山东工程职业技术大学新型冠状病毒感染的肺炎疫情防控期间线上教学工作领导小组。现将相关事宜通知如下。
一、领导小组的组成
组

长：吴梦军
副组长：张有志、李章泉、张诚
成

员：牛翔、王万里、丁福强、宁玲玲、韩业文、张永忠、张文硕、宿立优、刘杰、薄金龙、张平、王连增、孟宪勇
二、领导小组下设机构
1.组织协调组：组织协调组设在教务处，负责线上教学统筹协调和日常工作，牛翔任主任，时德新、池光胜任副主任。
2.技术支持组：技术支持组负责线上教学技术支持和人员培训等，丁福强任主任，成员孙东正、王娜、李业友。
3.质量监控组：质量监控组负责线上教学质量检查调控和督导评价，初福民任主任，时德新、隗茂虎任副主任，成员李景龙、王燕。

山东工程职业技术大学
2020年2月3日
",,31,https://www.suet.edu.cn/info/1026/2443.htm
精准扶贫不落一人，教育扶贫扶志先行 山东工程职业技术大学开展建档立卡贫困生走访活动, 发布时间: 2020-01-16,"
山东工程职业技术大学积极开展
“走访慰问建档立卡贫困学生”活动，由校长吴梦军亲自带队，副校长李梅松、宣传处副处长王玉珠、资助中心副主任孙明娟及二级学院行政副院长、辅导员组成的
送温暖队伍下乡村、进农户，
给他们送去慰问品和慰问金，为他们送去冬日春节的温暖和学校的关怀，解决建档立卡贫困家庭学生冬季春节期间生活难题，确保学生过暖冬过好年。
1月15日
走访了两个家庭，一名是家
住淄川建工学院工程造价本科班学生，另一名是家住章丘王白庄村信息工程学院软件工程本科班的学生，在走访慰问活动中，了解到两家均因病致困。校领导与家长面对面交谈、心贴心交流，细致了解他们的家庭状况、经济来源和实际困难，了解当地政府给予的帮扶措施，为他们送去了米、面、油等生活用品和慰问金。向他们宣传了党和国家的教育资助政策，把党和政府的关怀，学校领导的关爱和老师、同学的关心送到了家中，也希望家长要增强克服暂时困难的信心，一如既往支持学生完成学业。并鼓励学生志存高远，明德笃行，结草衔环，感恩社会。不仅向家长反馈了学生的学习情况及在校表现，同时就家长普遍关心的问题作了详细解答，听取了家长对学校工作的意见和建议。
开展慰问活动，使贫困生感受到了学校大家庭的温暖，给予了他们物质帮助和精神鼓励。受访学生家长对校领导的亲自到访感激万分，表示要努力克服眼前困难，帮助孩子顺利完成学业，不辜负学校的期望，把孩子培养成才回报社会。在贫困学生家里，低矮的民房、寒冷的房间，残缺的家庭对老师们也触动颇深，大家被处于艰苦环境下毅然抚养孩子上学的家长感动着，被家庭经济困难但自强不息、奋发好学的学生感动着，深刻领悟了教师教书育人、立德树人的神圣使命和责任担当。
据悉，明后两天校领导还将奔赴菏泽等地慰问建档立卡贫困学生。本次走访活动采取集中组队、分散走访的方式到建档立卡贫困生家庭走访慰问，扩大覆盖面、提升帮扶效果、解决实际困难，为学生及其家庭送去温暖和爱心，这不仅广泛宣传了国家的教育资助政策，也把党和国家的关怀送到了贫困学生家里，而且为学校下一步做好建档立卡贫困学生的精准资助工作提供了第一手真实的资料，有效加强了学校与贫困学生家庭的联系，助推学校精准资助工作更好更快发展。一直以来，山东工程职业技术大学认真贯彻落实党和国家资助政策，将
“精准扶贫”与“德育扶志”相结合，十分重视救助贫困生工作，多次研究救助贫困生的措施，不断探索精准资助方式,创新资助模式，多层次、多渠道筹措资金，尝试建立长效资助工作机制，引领受助学生成长成才。
作者：王玉珠

编辑：靖雪

编审：魏本江
",,30,https://www.suet.edu.cn/info/1026/2453.htm
三庆旗下宝雅新能源15亿接盘一汽吉林获得70.5%股权, 发布时间: 2019-12-27,"
12月27日，山东宝雅新能源汽车股份有限公司与中国一汽集团及一汽吉林汽车有限公司，在长春正式签署增资扩股协议
，
宝雅新能源以
15亿元获得一汽吉林70.5%股权。三庆集团董事长、山东宝雅新能源汽车股份有限公司名誉董事长
、山东工程职业技术大学理事长
吴立春先生出席了一汽吉林汽车有限公司增资扩股签约仪式。
三庆集团
为
山东宝雅新能源汽车股份有限公司控股股东，
同时也是山东工程职业技术大学的举办者。
宝雅新能源
控股
一汽吉林
后，为山东工程职业技术大学交通工程学院的建设和发展拓宽了空间，赢取了得天独厚的有利条件，同时为我校交通工程学院及其他学院相关专业开展校企合作，深化产教融合，提供了新的平台，将有力促进学校的本科层次职业教育试点工作。
12月26日，据上海联合产权交易所显示，一汽吉林汽车有限公司增资项目落地，来自山东的低速电动车企业宝雅新能源以15亿元获得一汽吉林70.5%股权。
此前，一汽吉林相关人士承认
“正在和宝雅新能源等多家企业接触”，但经过半年时间，经营现状不佳的一汽吉林终于完成了混改。这是继奇瑞混改之后，又一家车企在资本市场寻求股东，推行增值扩股的计划。
根据今年
10月一汽吉林在上海产权交易所挂牌的信息，一汽吉林拟转让70%股权，募集15亿元资金，同时要求意向投资人实缴注册资本不少于2亿元，须具有5年以上整车研发、生产制造和销售经验，而且拥有华东、华中万辆以上营销业绩和用户基础，同时需拥有出口经验，累计出口过千辆营销业绩者。


来源：三庆集团

编辑：赵珣

编审：汪少龙


",,29,https://www.suet.edu.cn/info/1026/2463.htm
山东建筑大学周学军教授来我校调研指导, 发布时间: 2019-12-13,"
12月12日，山东建筑大学周学军教授应我校科
技
处、建筑工程学院邀请来我校调研指导工作。学校校长吴梦军、副校长李章
泉
接见并谈话，建筑工程学院院长鲍怀富、执行院长韩业文、副院长李传红参会。
访谈中，周
学军
教授对我校土木工程专业做了调研，参观了建筑工程学院实验实训室，了解了我校办学历史和办学条件，对我校不懈努力的申本工作和获得职业本科试点表示了赞扬和祝贺。周
学军
教授对职业本科试点过程中，土木工程专业的建设标准、人才培养目标和教育教学改革等问题发表了见解，为我校建筑类专业下一步的发展提出了建议。
作者：建筑工程学院

韩蕾

编辑：赵珣

编审：汪少龙

",,28,https://www.suet.edu.cn/info/1026/2475.htm
我校召开新媒体建设与管理工作会议, 发布时间: 2019-12-06,"
党的十八大以来，以习近平
同志为核心
的党中央高度重视新兴媒体的融合发展并强调要利用新技术新应用创新媒体传播方式。
12月6日上午，我校在第二会议室召开
新媒体建设与管理
工作
会议
，会议专题学习了《中共山东工程职业技术大学委员会新媒体建设与管理办法》。副校长林玉贵，党委宣传部部长魏本江及各
党总支书记、部门分管宣传工作的领导、新媒体平台负责人
参加会议
。
会议由党委宣传部副部长王玉珠主持。
首先，
魏本江带领与会人员集中学习了《中共山东工程职业技术大学委员会新媒体建设与管理办法》并进行了详细解读。他指出，本管理办法是根据国务院《互联网信息服务管理办法》和教育部、国家互联网信息办公室《关于进一步加强高等学校网络建设和管理工作的意见》等文件精神，同时结合学校实际制定出
来的。要求
各部门、各单位
要认真学习和
落实本管理办法
，制定出本部门本单位的管理体系，明确相关领导和运营人员的职责；制定并落实申报审批制度、信息发布制度、安全保密制度、责任追究制度等；
进一步增强我校校园新媒体的创新力、传播力和公信力。
副校长林玉贵就开展学习《中共山东工程职业技术大学委员会新媒体建设与管理办法》做了部署工作。他指出，我校作为全国十五所职业本科试点院校，要明确当下面临的严峻形势，既要创新又要脚踏实地的运用好新媒体平台将山东工程的品牌推广出去。
他
对接下来的各项工作提出了五方面的要求：一是各部门各单位要提高认识，高度重视，贯彻落实《中共山东工程职业技术大学委员会新媒体建设与管理办法》，运用好、发挥好新媒体平台的宣传作用；二是针对所发布内容要严格把关、层层审核，杜绝因审查不严而出现错误的现象发生；三是新媒体运营的关键是选好人、用好人；四是严格落实管理办法，遵循谁主办
、
谁负责的管理原则；五是要积极利用各个新媒体平台，将学校品牌推广出去。
最后，会议
由
王玉珠作总结发言，她指出各部门、各单位要提高对新媒体工作重要性
的
认识，切实推进我校新媒体的健康有序发展。
作者：文化宣传处

王煜浩

编辑：赵珣

编审：魏本江
",,27,https://www.suet.edu.cn/info/1026/2482.htm
校领导深入餐厅检查餐饮服务工作, 发布时间: 2019-11-25,"
11月23日，我校理事、校长助理、工会主席刘国栋深入学校餐厅检查指导餐饮服务保障和食品安全工作，后勤基建处副处长王超
、
膳食科科长段吉庆
、
各餐饮公司负责人等相关部门负责人陪同。
刘国栋
一行对餐厅各楼层进行了全面细致的检查，重点检查了饭菜质量和价格，餐厅工作制度落实、就餐区卫生情况等，随后就操作间流程、原料存储、索证索票、从业人员健康体检、食品成品保鲜保洁、清洗消毒、食品留样、最终销售等涉及食品安全的重要环节亲自检查食品原材料并仔细询问。
检查中
，
刘国栋强调，要充分认识学校食品安全的重要性和紧迫性，加强学校餐厅管理人员专业知识培训，建立健全有效的食品安全监管机制，加大监管力度，认真排查食品安全隐患，紧抓食品安全管理漏洞，让广大师生吃
得
安全、吃
得
放心、吃
得
营养、吃
得
健康。
检查工作结束时，
刘国栋
鼓励大家继续保持目前高昂的工作热情，在食堂管理工作中不断发挥探索精神和创新能力，把我校食堂管理工作推向一个新的台阶。
作者：
后勤基建处

刘烁

编辑：赵珣

编审：汪少龙
",,26,https://www.suet.edu.cn/info/1026/2494.htm
我校荣获2019“黄炎培杯”全国大学生投资理财技能大赛团体赛三等奖, 发布时间: 2019-11-18,"
11月16日，首届
“黄炎培杯”全国大学生投资理财技能大赛
在浙江金融职业学院
落下帷幕
。
由
我校工商管理学院
执行院长
刘杰、
副院长
毕春晖指导，
18
级
会计
3班
王丽丽、任红玉、李姝琦
三名学生
组成的山东工程一队，从
163支队伍中脱颖而出，挺进全国决赛，通过现场答辩环节的激烈竞逐，最终以优异成绩荣获团队赛三等奖
。
“黄炎培杯”全国大学生投资理财技能大赛由中华职业教育社主办
，
是一个职业技能与生活技能兼顾、面向全国应用型本科、职业（高职、中职）院校适龄学生的财经商贸类赛事。
本次
大赛自
9月16日启动以来，全国共有60所本科，133所职业院校报名参加比赛，其中团体赛参赛队伍163队，个人赛参赛人数12084人。自赛事启动以来，学校高度重视，在学校教务处的
领导
下，
工商管理学院参赛师生
认真探究、刻苦训练，在比赛中稳扎稳打，不骄不馁，取得了优异成绩。
工商管理学院高度重视各类专业技能竞赛
,坚持“以赛促教、以赛促学、以赛促知”。
通过
此次
全国性理财技能大赛
，对外
展示了我校学子的投资理财技能、金融风险防范能力以及团队协作精神。
作者：工商管理学院

郭小凡

编辑：赵珣

编审：汪少龙
",,25,https://www.suet.edu.cn/info/1026/2504.htm
我校举办青年马克思主义者培养工程第一期团学骨干培训班, 发布时间: 2019-11-12,"
11
月
9日
上
午，我校
青年马克思主义者培养工程第一期团学骨干培训班
第一讲在
大学生活动中心
开讲。本次培训对象为我校
50余名优秀团学干部，
由副校长李梅松及团委书记王斌担任主讲老师。
第一讲
“团学干部的素质与能力提升”由
李梅松副校长
主讲
，
他
从
“学生干部的作用、定位、工作原则以及工作方法”等几个方面进行了
讲解
。
李梅松
指出
，
学生干部是贯彻落实学校各项工作的桥梁纽带，是建设校园文化的重要队伍。
他同时
指出
了
学生干部普遍存在的一些问题：缺乏创新意识、工作热情的阶段性以及部分学生干部的成绩有待提高。
在谈
到
如何更好地开展
工作时
，李梅松强调，
要将理论与实践相结合、服务同学与发展自身相结合、继承与创新相结合
，依
靠积极分子推进工作
，
实行目标管理
，
引入激烈的竞争。
他采用课堂互动、小组活动等引导式的授课方式，带领团学干部们自主探究，互动性强，取得良好效果。
据悉，
本次培训将持续
4
天，共分
8
讲
，
以
“不忘初心，牢记使命”为主题，
以
理论培训、素质拓展、
行动导向教学、课堂反转、角色扮演、情景模拟为教
学形式
，
深入学习马克思主义理论，深入学习贯彻习近平总书记系列讲话精神，并就如何做好新时期高校团学工作进行讨论交流。下一步将以各学院为单位进行轮训。
我校一直以来注重团学干部的培养，
加强团干部培训，
大胆创新培训模式
。
实施青年马克思主义者培养工程，目的是要坚持不懈地用马克思主义中国化的最新成果武装青年，通过教育培训和实践锻炼等方式，提高大学生骨干、团干部、青年知识分子等青年群体的思想政治素质、政策理论水平、创新能力、实践能力和组织协调能力，使他们进一步坚定跟党走中国特色社会主义道路的信念，成长为中国特色社会主义事业的合格建设者和可靠接班人。
作者：团委

皮娜

编辑：赵珣

编审：汪少龙



",,24,https://www.suet.edu.cn/info/1026/2511.htm
