标题,发布时间,内容,浏览量,来源列表页,链接
,,,,20,https://www.suet.edu.cn/xxyw.htm
我校开展“感念师恩，敬献鲜花”活动, 发布时间: 2019-09-11,"
9月10日上午，为庆祝35个教师节的来临，我校组织开展了“感念师恩，敬献鲜花”活动。
早上七点五十分，校学生联合会成员手里捧着鲜花来到校标广场，为走下班车的老师们献上鲜花与祝福。随后，团学干部代表来到学校领导、老师办公室，将美丽的鲜花和卡片献上并与各位领导老师合影留念。
本次活动是我校
“我和我的祖国”喜迎建国70周年主题系列活动之一，
我校学生联合会成员利用课余时间，通过绘画、书法、剪纸等，为教师制作贺卡和鲜花，作为教师节礼物，表达诚挚的感恩之情。
作者：团委

皮娜

编辑：赵珣

编审：汪少龙
",,19,https://www.suet.edu.cn/info/1026/2562.htm
我校参加山东省高校党的建设工作会议并作典型发言, 发布时间: 2019-08-22,"
近日，全省高校党的建设工作会议在济南召开。会议深入学习贯彻习近平新时代中国特色社会主义思想，贯彻落实全国教育大会精神、全国高校党的建设工作会议精神和省委部署要求，研究部署我省高校党的建设工作。省委常委、宣传部部长、省委教育工委书记关志鸥出席会议并讲话，省委教育工委常务副书记，省教育厅厅长、党组书记邓云锋主持会议。我校党委书记胡小林参加会议并作题为
“发挥党委政治引领作用，积极推进职业本科教育发展”的典型发言。
会议总结肯定今年以来全省高校党的建设工作，分析面临形势和任务，深入查摆在思想认识、责任落实、素质能力、改革创新等方面的突出问题，强调要提高政治站位，全面落实党建工作主体责任和
“一岗双责”，结合开展第二批“不忘初心、牢记使命”主题教育，奔着问题去、盯着问题改，切实提升高校党的建设工作水平。
会议要求，要聚焦高校高质量发展抓党建，着力推进高校改革创新，激发动力活力，走内涵式提升转型发展道路
;要着力加强“双一流”建设，引入竞争机制，统筹规划管理，争取更多高校、学科进入全国一流行列;要着力打造职业教育高地，抓住“部省共建山东国家职业教育改革先行区”的机遇，整体提质培优全省职业教育;要着力加强高校意识形态工作，建立完善风险防控体系，提高舆情应对处置能力，压紧压实意识形态工作责任制;要着力加强改进高校思想政治工作，提高思政课质量，健全思政工作队伍，用好红色文化资源，让红色基因代代相传;要着力推进全面从严治党，强化政治引领，持续正风肃纪，夯实基层基础，切实加强干部队伍建设，树立高校党员干部的良好形象。
胡小林书记在发言中指出，山东工程职业技术大学党委紧紧围绕全国职业教育改革的要求，坚持把政治建设摆在首位，落实立德树人根本任务，不断将党建优势转化为发展优势，推动职业本科教育健康发展。学校党委充分发挥政治引领作用，谋划职业本科教育发展，一是落实全国职业教育改革精神，从适应新旧动能转换、培养高素质技术技能人才出发，抓住政策机遇，积极谋划职业本科教育发展。二是明确民办高校党委政治定位，建立了校长治校、专家治学、民主监督、社会参与的内部治理结构。三是妥善解决民办高校党建与行政工作两张皮的现象。四是健全党组织参与决策和监督机制。五是进一步完善党组织工作机构。下一步，学校党委将全面落实全国、全省教育大会精神，扎实推进职业本科教育
,充分调动各方面积极性，将党建工作转换成学校发展的动力。一是学校党委发挥政治引领作用，努力做到“把方向，出主意，抓落实，促发展”；二是将党的建设落实到学校事业发展的具体工作中，党建引领，形成合力，以党建推动行政工作和教学工作；三是进一步加强和改进意识形态工作，创新活动载体，加强阵地管理，把握正确导向。校党委将以饱满的热情，踏实的工作、创新的思维，把学校建成名副其实的职业技术大学，早日实现由“全国试点”向“全国示范”的跨越。
省委组织部、省委宣传部有关负责同志，省教育厅（省委教育工委）领导班子成员，全省本科高校党委书记、校长，高职高专院校、民办高校党委书记等参加会议。
作者：
组织统战部

张彦卿
编辑：赵珣   编审：魏本江
",,18,https://www.suet.edu.cn/info/1026/2573.htm
山东工程职业技术大学特色专科专业介绍——汽车工程学院新能源汽车技术, 发布时间: 2019-08-09,"
1.
培养目标
本专业主要培养汽车新能源技术应用方面的高素质技术技能型人才。培养具备良好的职业道德素质，科学文化素质，职业技能素质，掌握新能源汽车技术应用必备的基础理论和专业知识，能从事新能源汽车制造企业生产技术管理，产品开发调试、汽车
4S店及维修企业技术服务等方面工作的高素质技术技能人才。
2.
主要课程
汽车构造，新能源汽车电机及其控制技术，动力电池管理及维护技术，电动汽车电气系统检修，汽车电子控制原理与技术应用，电动汽车车身电控系统检修，电动汽车舒适及安全系统检修，电动汽车充电站及管理技术，新能源汽车技术性能检验等课程。
3.
就业岗位
新能源汽车制造（含零部件制造）企业产品开发与实验
；
新能源汽车制造（含零部件制造）企业生产线及技术管理
；
汽车
S店新能源汽车营销与技术服务
；
共享新能源汽车技术管理与服务
；
汽车保险与理赔
。

",,17,https://www.suet.edu.cn/info/1026/2585.htm
山东工程职业技术大学特色专科专业介绍——鼎利（互联网+）学院移动通信技术, 发布时间: 2019-08-03,"
1.
培养目标
本专业培养具备从事通信施工项目设计、安装与调试、运行与维护等能力，能够胜任移动通信工程与监理工程师、移动通信网络优化工程师、移动通信技术支持等工作岗位的高层次技术技能人
才。
2.
主干课程
计算机组网技术、应用电子信息技术基础、现代移动通信原理与交换技术、通信电路检测与调试、数据库应用基础

、工业通信工程应用技术、
LTE网络原理与组网 、4G基站设备与工程实施 、移动通信天线技术与工程应用、LTE网络测试与网络优化。
3.
实训条件
设有移动通信平台运营维护实训中心和移动通信网络优化实训中心。移动通信平台运营维护实训中心设有
20个标准化工位，配置了室外基站、室内分布系统、无线网络数据分析及案例系统、楼宇覆盖场景、山区通信覆盖场景、小区通信覆盖场景、基站仿真实训场景、通信工程模拟实训场景等系统。能够满足移动通信技术专业宽带交换技术、交换网优化技术、通信工程项目管理、通信工程勘察设计与预算、通信基站设备调试与维护等骨干核心课程的实训。
移动通信网络优化实训中心设有
50个标准化工位，设有网络管理指挥中心和网络优化实训区，配置了笔记本、手机、便携式多网测试系统、自动路测采集单元并安装了无线网络数据分析及案例系统、统一数据管理平台、室内外定点监测单元和自动路测采集单元等。能够满足无线网络测试分析、统一数据管理平台、自动路测采集、室内定点监测、便携式无线网络测试等专业核心课程的实训工作。
4.
优势特色
实训教学采购了华为的移动设备，充分发挥校企合作优势，在校内按照行业标准，建立了真实的实训环境
，
实现了实训课程与工作岗位对接、实训内容与工作内容对接。引入真实项目，依托真实的实训环境，通过项目驱动的教学模式，加强学生创新创业能力培养。教学过程企业全程参与，专业核心课程由企业安排具备丰富行业工作经验的企业工程师担任；积极探索
“1+X”证书制度，把证书课程纳入教学体系。
",,16,https://www.suet.edu.cn/info/1026/2593.htm
用爱培育爱、激发爱、传播爱, 发布时间: 2019-07-22,"
李传红，
2007年毕业于山东建筑大学， 2007年8月至今于山东
工程职业技术大学
从事教学和
教学管理
等方面工作，
现任建筑工程学院副院长。她入职以来，
不断加强职业道德修养，在工作上努力起模范带头作用。在校领导的正确领导下，按照学校年度工作计划和学期工作安排，团结带领
建筑工程学院
教职员工，
以
饱满的工作热情和积极的工作态度，保证各项工作全方位地为学校教育教学服务、为全体师生员工服务。
一、思想上自觉把党的教育方针贯彻到教学管理
的
全过程
李传红
老师认真学习党和国家有关教育改革发展的文件，
深刻学习领会《中共中央、国务院关于深化教育改革全面推进素质教育的决定》、《国务院关于职业教育改革的实施意见》、《国家教育现代化
2035》等系列文件精神，坚持德育为先，始终同党和人民站在一起，自觉做中国特色社会主义的坚定信仰者和忠实实践者，忠诚党和人民的教育事业，自觉把党的教育方针贯彻到教学管理工作全过程；弘扬社会主义核心价值观，以提高学生综合素质、促进学生健康成长作为出发点和落脚点，积极引导学生热爱祖国、热爱人民、热爱中国共产党。老师是学生道德修养的镜子。好老师应该取法乎上、见贤思齐，不断提高道德修养，提升人格品质，并把正确的道德观传授给学生。争做中国特色社会主义共同理想和中华民族伟大复兴中国梦的积极传播者，帮助学生筑梦、追梦、圆梦，以实际行动诠释教书育人。
二、执着于教书育人，热爱教育事业
她始终
坚持以教学为中心，以提高日常教育教学质量为重点，不断加强有效教学行为的研究，加强教学常规管理，切实提升教师的专业水平，提高学生的学习能力。
为促进学院教育教学质量的稳步提高，制定了院级领导听课制度和教研活动制度。
她积极
落实
08-16级各专业学生的顶岗实习和毕业实习任务
。她
给
11级学生造价班3名学生联系实习单位两家，学生及时
向她汇报
单位的工作情况，
与
学生建立的良好的关系
，
有两名
学生
毕业后留在实习单位工作
。有一名姓
路
的同学，
家庭贫困，平时不爱言语
，
她多次
找她
谈话交流，
使她
变得开朗了很多，毕业后安排在工地做结算工作，现在已经有了自己的小家庭，生活很幸福。
她
结合学生在学习上存在的问题，及时召开师生交流会，为广大学生答疑解
惑。
爱是永恒的话题，教师对学生的爱更是一种把全部心灵和才智献给孩子们的真诚。这种爱是无私的，它要毫无保留的献给所有学生
;这种爱是深沉的，它蕴含在为所有学生做的每一件事当中;这种爱是神圣的，它融成水乳交融的情谊。用爱赢得了学生的尊重
和
家长的信任
，获得领导和老师的良好评价，她
连续
5年被评为校级“优秀教职工”。
三、用爱培育爱、激发爱、传播爱
她
热爱教育事业，热爱孩子，主动经常弯下身与孩子沟通交流，愿意与孩子成为朋友，建立起平等和谐的师生关系，遇事冷静，不随便发怒，不以威压人，处事公平合理，不抱偏见，对所有的孩子一视同仁，树立较高的威信。
她
能够在各个方面给学生以帮助和指导，把自己的温暖和情感倾注到每一个学生身上；尊重学生，用欣赏增强学生的信心，用信任树立学生的自尊，让每一个学生都健康成长，让每一个学生都享受成功的喜悦，得到了学生的尊敬和爱戴。
四、教学能力过硬，教学效果和人才培养成绩显著
在
完成日常教学和管理工作的同时，李传红
老师
不断提高自己的业务水平，知识功底扎实
。她坚持
勤读书，多读书，不断提高教学能力、勤勉教学态度、创新科学的教学方法
。
积极参与教学科研质量工程建设，
2015-2019年建设并结项省级教改项目1项；2014-2016年完成了山东省建筑类品牌专业群的建设及结项工作；2015年建设了省级建筑类品牌专业群教学团队1个；2016年建设了山东省省级精品资源课《混凝土结构工程施工》1门，近几年，完成和在研省级教研、科研课题7项；主编和参编出版教材4部；发表教科研论文12余篇；获得专利2项；2017年获得省级工法1项。组织学生参加技能大赛，并取得
优异
成绩
。
省级鲁班杯和招投标模拟大赛荣获省级二等奖，在竞赛的前一天，学生张
同学
紧张过度，出现了不敢去竞赛的情况，
她
及时疏导
鼓励对方
，给予大姐姐般的关怀，才顺利完成了竞赛。带领学生
参加
第十三届山东省大学生科技文化艺术节
“大学生测量技能”
大赛并获
优秀奖；带领学生参加
2014年全国识图竞赛，荣获省级“优秀组织奖”
。
作者：建筑工程学院

宣传处

编辑：赵珣

编审：魏本江

",,15,https://www.suet.edu.cn/info/1026/2604.htm
西南科技大学城市学院鼎利学院副院长罗勇一行来我校考察调研, 发布时间: 2019-07-12,"
7
月
12
日
上午
，
西南科技大学城市学院鼎利学院副院长罗勇一行
7
人
来
我校考察
调研
。学校
副校长李梅松
等领导热情接待了
罗勇副院长
一行。
来宾们在校领导的陪同下参观了
土木工程训练中心、汽车工程训练中心、机械工程训练中心、鼎利学院、甲骨文
IT云教育中心、E时代创客中心
等实验实训
场所
。
两校鼎利学院均与世纪鼎利集团进行校企深度合作办学，在产教协同育人方面
有异曲同工之妙，
罗勇副院长对我校鼎利学院的先进设备和独特的
UBL人才培养模式给予了高度评价。
随后，双方在卓越楼五楼第一会议室进行座谈交流，会议由李梅松副校长主持。会上，李梅松副校长就学校申本工作作经验介绍。他指出，申本这项系统工程是对学校的办学理念、办学条件、教学科研、师德师风、学风教风、管理水平、精神风貌等全方位考核和提升，从而全面推动学校进一步总结办学经验、明确办学定位、凝练办学特色、更新办学理念、规范办学行为。
从宏观层面上讲，申本工作应做到以下几项：
一是
科学规划、稳步施策，制定详细实施方案；二是
明确建设标准，确保各项办学条件达标或超标；三是根据各阶段任务，抢抓时间节点，完成预定目标；四是强化督查督办、形成完善的质量管控体系。
罗勇副院长对我校的热情接待表示感谢，并希望今后两校进一步
加强交流与协作，
共同探索产教融合校企合作新路径
。
作者：党政办公室

王允芹

编辑：赵珣

编审：汪少龙
",,14,https://www.suet.edu.cn/info/1026/2611.htm
我校召开2018年度职称评审工作会议, 发布时间: 2019-07-05,"
7月4日上午，我校专业技术职务高级评审委员会在卓越楼五楼第二会议室召开会议，对我校2018年度参加申报专业技术职务资格且通过学科组评审的教师进行资格评审。
本次会议由
学校
高评委副主任委员
、党委书记
胡小林主持。会上，胡书记对职称评审工作的意义及要求作了详细阐述，学习了相关文件精神，并着重强调了评审纪律，要求各委员认真审阅评审材料，做到客观、公正、公平。与会委员仔细审阅了申报人的材料，充分肯定了教师的工作和教科研成果，并就每一位申报人的实际情况认真进行了讨论和评审，最后以不记名投票的方式评定了申报人的任职资格。
专业技术职务的评审是学校师资队伍建设的重要工作之一，学校职称评审委员会高度重视此次职称评审工作，指出了
2018年度职称评审工作存在的问题并对以后的工作提出了修改意见。学校将在充分调研和征求意见的基础上对职称政策和任职条件进行进一步修订，新的专业技术职务评审工作将会进一步完善、规范和提高。
作者：人事处

刘贤贤

编辑：赵珣

编审：汪少龙
",,13,https://www.suet.edu.cn/info/1026/2624.htm
山东工程职业技术大学本科专业介绍（五）——软件工程, 发布时间: 2019-07-02,"
软件工程
社会需求：
未来
5
至
10年，我国信息化人才总需求量高达1800万
至
2000万人。至2025年，新一代信息技术产业人才缺口将达950万人，其中“软件开发”、“网络工程”等人才的缺口最为突出，嵌入式开发人才缺口每年超过40万人。
培养目标：
了解软件工程学科的前沿技术和软件行业的发展动态，经过系统化的软件工程基本训练，具有参与实际软件开发项目的经历，具备作为软件工程师从事工程实践所需的专业能力；
能
够胜任软件工程技术研究、设计、开发、管理、服务等方面工作，具有良好的职业素质和创新精神的高层次技术技能人才。
主干课程：
数字逻辑、
C语言程序设计、面向对象程序设计、计算机网络技术、数据结构、操作系统、网页设计与制作、数据库开发技术、微机原理与接口、Java程序设计、软件工程与测试、软件项目管理、Android软件开发。
企业级
Java应用开发方向：PHP动态网站建设、Java技术高级应用、Java Web应用程序设计、Java手机应用程序设计。
Web前端应用开发方向：Web前端基础、JavaScript脚本核心技术、后台服务端技术、自动化集成工具与高级框架。
师资情况：
本专业现有专任教师
21人，其中，教授5人，副教授10人，高级职称占教师总人数的71.43%，具有硕士学位的14人，占66.67%，具有双师素质的教师15人，占71.43%，兼职教师9人，占教师总数的30%，是一支整体素质高、结构合理、业务过硬、具有创新精神的师资队伍。
实习实训条件：
本专业现有软件实验室、网络实验室、计算机基础实验室、电工技术实验室、计算机中心、数字多媒体实训室、移动应用开发实训中心和甲骨文
IT云教育中心等，设备总值3600余万，建筑面积4000余平米。
校企共建的校内人才培养基地：国家工业和信息化部电子行业特有工种职业技能鉴定实训基地、全国工业和信息化人才培养综合服务平台认定评测中心（
ATC）、英特尔软件学院项目合作院校、“红帽软件（北京）公司”合作院校、济南同创唐朝信息科技有限公司现代学徒制校企合作单位、北京菜鸟在线教育科技有限公司移动互联网创新创业基地、济南知驭网络科技有限公司互联网+人才培养基地，已经实现了从基本技能实训、综合技能实训、生产性实训、校中厂的综合多元实训技能培养层级，保证学生在校内就可以实现企业级综合实战
教学。
",,12,https://www.suet.edu.cn/info/1026/2633.htm
我校党委隆重举行庆祝中国共产党成立98周年暨“七·一”表彰大会, 发布时间: 2019-06-27,"
在全党上下广泛开展
“不忘初心，牢记使命”主题教育之际，在中国共产党成立98周年之际，为进一步激发全校各级党组织和广大党员干事创业的积极性，表彰在学校事业发展中涌现出来的先进集体和
先进
个人，更好地发挥基层党组织的战斗堡垒作用和党员先锋模范作用，
6月27日，我校党委在党员活动室隆重举行庆祝中国共产党成立98周年暨“七·一”表彰大会，对3个先进党总支、5个先进党支部、15名优秀党务工作者、31名模范共产党员进行了表彰。
党委书记胡小林，党委副书记
、
校长吴梦军，副校长张有志、林玉贵、张诚、李章泉，党委委员、
校长
助理刘国栋，党委委员
、
组织统战部部长韩启斌，党委委员张娜
，
党委委员
、
组织统战部副部长张彦卿出席大会。各党总支、支部负责同志，全体党员，受表彰的
先进集体、先进个人
代表
，部分入党积极分子
共
160余人参加了大会。本次大会由党委委员、纪委副书记韩业文主持。
大会在庄严的国歌中拉开帷幕。首先，张彦卿同志宣读了《中共山东工程职业技术大学关于表彰先进基层党组织、优秀党务工作者、优秀共产党员的决定》，出席会议的领导为受表彰
的先进集体、先进个人
代表颁发了证书。先进党组织代表基础教学部第二党支部书记孙勇同志、优秀共产党员代表机械工程学院教师李海霞同志分别在大会上发言。随后，党委委员张娜领誓，全体与会人员庄严举起右手，面向鲜红的党旗，一起重温入党誓词，铭记入党初心。
接着，胡书记作重要讲话，他首先向取得优异成绩、受到表彰的先进党组织、优秀党务工作者、优秀共产党员表示诚挚的祝贺！同时，他希望受到表彰的同志们戒骄戒躁、再接再厉，持之以恒为学校发展做出更大的贡献，对学
校
党委近两年来取得的成绩作了总结，并提出了今后工作面临的任务和要求：第一
，
紧紧围绕
“培养什么样的人、怎样培养人、为谁培养人”这个根本性问题,持之以恒地抓好坚持办学的政治方向、建设高素质教师队伍、形成高水平人才培养体系这3项基础性工作,坚定不移地走内涵式发展道路。第二
，
要尽快完善大党建工作格局，以党建促进学校各项事业的发展。第三
，
充分发挥党组织的战斗堡垒作用和党员的先锋模范作用。胡书记强调学校正处在改革发展的关键时期，需要我们继续保持和发扬党的光荣传统和优良作风，充分发挥党组织和党员干部密切联系群众的优势，最大限度地调动全校师生员工工作和学习的积极性，弘扬
“志存高远，追求卓越”的校训精神，以饱满的热情，踏实的工作、创新的思维，凝心聚力为把学校建成在全省、全国有较高知名度和影响力的
高水平
职业技术大学而努力奋斗。
最后，大会在庄严的国际歌中落下帷幕。
作者：组织统战部

张彦卿

编辑：赵珣

编审：魏本江
",,11,https://www.suet.edu.cn/info/1026/2642.htm
山东工程职业技术大学举行“新时代本科层次职业教育高端论坛”, 发布时间: 2019-06-13,"
为深入贯彻习近平新时代中国特色社会主义思想和全国教育大会精神，落实《国家职业教育改革实施方案》，助力学校职业本科教育试点工作顺利开展，推动学校职业教育改革和高质量发展，我校于
6月12日下午在诚基楼学术报告厅举办“新时代本科层次职业教育高端论坛”，特邀深圳职业技术学院创校校长俞仲文教授来我校作专题讲座，讲座由我校校长吴梦军主持，我校副校长林玉贵、张有志、李章泉、王守光出席报告会，全校教职工代表、学生代表600余人聆听讲座。
俞仲文校长，英国胡佛汉顿大学管理学荣誉博士，现任中国职业技术教育学会副会长和全国民办职教分会会长，曾任深圳大学党委副书记、深圳职业技术学院创校校长和广东岭南职业技术学院院长、中国陶行知研究会职业教育专业委员会主任、全国高职高专人才培养工作委员会副主任兼实践教学组组长、教育部全国示范性职业技术学院协作委员会副主任兼顾问、全国高等学校教学研究会常务理事、广东省人民政府教育咨询小组成员、广东省民办教育协会常务副会长兼秘书长、广州岭南教育集团总裁，享受国务院特殊津贴专家。
俞教授的讲座以《大力发展新职教：高职本科院校高质量发展的新思路》为主题。俞教授在讲座中指出，贯彻落实职教
20条是建设高职本科院校的重中之重，“职教20条”既是宏伟蓝图又是行动纲领，既是动员令又是项目书，既面向职教界又面向产业界，其重大的战略意义和现实意义早就超出了职业教育的范畴。
他结合新时代背景和自己学习工作经历，深入浅出地分析了发展新职教是当前优质校建设的新思路。他指出，以什么样的思路推动优质校建设，是一个重大的战略定位和战略设计的问题。当前新经济、新技术、新业态均要求发展新职教，我国职业教育的转型、新职教的落实已经十分紧迫。而职业教育的新旧动能转换，就是从单纯适应
“世界工厂”的职业教育，转变到更适应中国智造、中国创造的职业教育，从传统服务业和商业到“云、物、大、智”时代下的现代服务业和现代商贸业。职业教育在人才培养规格、职业院校定位、专业顶层设计、校企合作形式、实践教学基地功能、课程内容和考核标准、师资队伍建设标准和要求、职业素质教育与养成内容等方面需要重新定义。
面对新时期的机遇和挑战，他说，山东工程的全体职教人要升本不忘本，做新职教的旗手、推手和高手，并提出七点建议：
一是对接产业新技术，成为新兴技术全面引入职业教育的典范；二是面向现代化主战场，为山东产业的新旧动能转换作出贡献；三是在新职教的旗帜下探讨高职本科院校的新定位、新任务；四是
高举创新创造大旗，打造职业本科院校新亮点；四是围绕新职教开展新一轮
“三说”（说专业、说课程、说项目）活动；五是围绕新职教，将“地方离不开、业内都认可、国际能交流”指标化；六是落实好新职教的八大新定义；七是从修改计算机公共课的教学内容、修改大学英语部分的名称、修改公共数学课的内容、修改实训室的名称、修改职教所的名称等五个方面，进行新职教的五大新调整。
讲座结束后，我校吴梦军校长代表学校对俞仲文教授高水平的精彩讲座表示感谢。吴梦军校长在总结讲话中表示，通过俞校长的讲解，让我们对职业教育有了全新的认识和思考，更加明确了发展方向，为更好地开展本科层次的职业教育工作具有指导意义。作为教育部首批职业本科改革试点院校，既是党和国家的使命重托，又是一项前无古人的艰巨挑战。我们的办学理念、办学定位、办学思路、人才培养模式、课程体系设计、内涵建设与创新发展、特色发展、质量管理等都要不断优化、转型和升级。希望与会人员认真研究报告内容，深刻领会报告本质精髓，把握新经济、新业态、新技术背景下职业教育的发展脉搏，开阔发展眼光，指导推动工作实践，不断增强事业心和凝聚力，为建设当地离不开、行业都认同、国内有影响的高水平职业技术大学做贡献。
作者：文化宣传处

赵珣

教务处

朱宏雁

编辑：赵珣

编审：魏本江
",,10,https://www.suet.edu.cn/info/1026/2654.htm
我校召开第五届“互联网+”创新创业大赛工作部署会, 发布时间: 2019-05-16,"
5月16日上午，我校在卓越楼五楼第二会议室召开了第五届中国“互联网+”创新创业大赛工作部署会，副校长王守光出席会议，对大赛工作提出要求。创新创业工作领导小组成员参加会议。
就业创业处宿立优处长在会上介绍，为做好
“互联网+”创新创业大赛工作，学校专门成立了创新创业工作领导小组，吴梦军校长亲自挂帅担任组长，张有志、王守光副校长为副组长，体现了学校领导的高度重视。宿立优结合我校实际，对校内选拔赛的具体方案及要求进行了说明，并介绍了第五届“互联网+”大学生创新创业大赛的新变化，明确了各院部的工作要求，对各时间节点的工作任务作了强调。
最后，王守光副校长提出工作要求
。
他指出，
“互联网+”大学生创新创业大赛在2014-2018年开赛以来，是各类创新创业比赛中水平最高、规模最大、档次最高的综合性赛事。各部门各单位
务必高度重视，
整合资源做好参赛项目的选拔工作，抓好指导工作。各院部要广泛宣传并动员师生、校友参加大赛，将创新创业纳入日常教育教学工作中
。
全校要步调一致、通力合作，做好比赛前期的宣传指导、政策指引、服务保障等工作
。要
把学校各级各类大赛与
“互联网+”大赛结合起来，切实增强学生的创业意识和创新能力。
作者：就业办

部宗娜

编辑：赵珣

编审：汪少龙
",,9,https://www.suet.edu.cn/info/1026/2664.htm
广西壮族自治区政协副主席陈刚率考察组来我校参观考察, 发布时间: 2019-05-07,"
5月6日上午，广西壮族自治区政协副主席、自治区总工会主席陈刚率考察组一行14人
来
我校
参观
考察
，
山东
省政协
教科卫体委员会主任
郭建磊陪同。
学校党委书记胡小林、校长吴梦军等领导热情接待了陈刚一行。来宾们在校领导的陪同下参观了汽车工程训练中心、机械工程训练中心、鼎利学院（互联网
+学院）等实验实训中心。在实地考察过程中，来宾们与校领导从学校职业教育发展、管理体制改革、师资队伍建设、人才培养创新、技能培训提升、校企合作模式加强、现代职业教育体系完善等方面进行了深入交流。参观结束后，陈刚对我校先进的实验实训设备和产教深度融合、校企协同育人的教学理念给予了高度赞赏，并对我校
以本科职业教育试点为契机，
建设特色鲜明的高水平
职业技术大学寄予厚望
。
双方一致认为
，
要想办好
高质量职业
教育，必须
全面
贯彻落实全国教育大会精神及一系列职业教育改革文件精神，
进一步
明确办学定位，突出优势和特色；优化学科专业结构，培植特色专业；加大高层次人才引进力度，优化师资队伍结构；深化校企合作，产教融合；加强校园建设，完善硬件条件，不断提升综合实力。
今后，
我校
将
进一步
与广西壮族自治区各高校加强交流与协作，共同
开创职业教育事业发展新局面
。
作者：
党政办公室

王允芹

编辑：赵珣

编审：汪少龙
",,8,https://www.suet.edu.cn/info/1026/2674.htm
我校举行2019年校内基金课题申报答辩会, 发布时间: 2019-04-22,"
4
月
19
日下午，
我校科研处在卓越楼五楼第二会议室
举行
2019校内基金
课题
申报
答辩
会
，包括
计算机
、
机械制造
、
经济管理
、
教育
等多个学科的十
七项
课题参与了答辩。
学
校
副校长李章
泉
、科研处处长葛伟以及刘欣副教授
组成评审专家组，
李章
泉
主持本次
申报
答辩
会
。
十
七
个课题的负责人对本组的课题进行了介绍和汇报，包括研究背景、理论依据、研究意义等内容，重点阐述了研究内容、研究过程和研究结论。评委对每位老师的
申报材料
和现场汇报分别作了点评。
答辩过程中，专家从学科前沿的高度指导我校教师从全新的角度认识自己的研究项目，使教师获得了一次难得的学习提高的机会，进一步推动了我校科学研究工作的发展。

同时，专家还指出
，
各位教师在进行科研的过程中
要
更多的关注科学研究的严谨性问题，将
申报材料
进一步规范化、细致化
，
内容
更
充实和具体，
以期对改进教育教学起到更大的影响和指导作用。
作者：科研处

肖圣颖

编辑：赵珣

编审：魏本江
",,7,https://www.suet.edu.cn/info/1026/2684.htm
章丘大学园区重点提案座谈会在我校召开, 发布时间: 2019-04-12,"
4月12日上午，为进一步发挥驻章高校师资和实训资源优势，促进章丘区政校企交流合作，加快校地融合，章丘大学园区管理服务中心
在我校
召开
了
重点提案座谈会。出席会议的有
：
章丘区政协经科委主任刘志勇，章丘大学园区管理服务中心主任刘在明、副主任宋万意
，
我校副校长李梅松
，人事处、就业创业指导处、组织统战部负责人及驻章高校政协委员代表。
驻章高校政协委员
有
山东旅游职业学院图书馆馆长孔燕、山东技师学院副院长许教伍、齐鲁理工学院生物工程教研室主任成堃、济南工程职业技术学院经济管理学院副院长张泽起
、我校
合作开发处处长牛翔
等
，会议由宋万意同志主持。
首先，李梅松副校长向来宾们介绍了凯文学院校地合作情况，
随后共同
观看了
学校
宣传片。来宾们对
我校
栉风沐雨数十载取得的成就惊叹不已，并称赞凯文学院坚持工科立校，在服务区域经济社会发展方面做出了卓越贡献。
随后，牛翔委员就《关于深化校地融合，建立校地互动机制的提案》提出如下意见：一是尽快搭建校地融合平台
；
二是加大校地融合的对接力度
；
三是推行以政府为主导的政产学研模式
；
四是统筹地方与高校发展规划。牛翔委员的建议得到与会人员的一致赞同，来宾们又在此基础上各抒己见，共同助力章丘区经济发展。
座谈会后
，来宾们在我校领导的陪同下参观了机械工程训练中心、鼎利学院等实验实训场所。来宾们对我校先进的实验实训设备、
“四真四化”的教学模式以及深度产教融合、校企双元育人的人才培养模式予以高度评价。参观结束后，刘在明主任对学校领导的热情接待表示衷心感谢，并希望
进一步
增进校地双方沟通联系，共同推进校地
融合向纵深发展
，最大程度地发挥高校在服务区域经济社会发展中的助推作用。
作者：
党政办公室

王允芹

合作开发处

牛翔

编辑：赵珣

编审：魏本江

",,6,https://www.suet.edu.cn/info/1026/2691.htm
