date,open,close,high,low,volume,amount,amplitude,change_pct,change_val,turnover
2005-01-04,994.77,982.79,994.77,980.66,7412868,4431977400.00,0.00,0.00,0.00,0.02
2005-01-19,974.33,967.21,974.33,965.26,6338091,3427951300.00,0.93,-0.77,-7.48,0.02
2005-02-03,1005.56,993.22,1014.19,992.16,16974539,10057310300.00,2.19,-1.36,-13.69,0.05
2005-03-01,1039.35,1035.93,1042.74,1031.17,9962090,6288790700.00,1.11,-0.39,-4.06,0.03
2005-03-16,1011.85,1003.07,1012.20,995.97,10622782,7153745900.00,1.60,-1.03,-10.45,0.03
2005-03-31,934.85,942.20,942.37,928.34,7859445,4555322800.00,1.50,0.55,5.17,0.02
2005-04-15,982.61,974.08,982.61,971.93,10408955,6541675456.00,1.08,-1.31,-12.89,0.03
2005-05-09,934.65,909.17,937.39,909.17,8529115,4889696446.00,3.03,-2.49,-23.23,0.03
2005-05-24,861.20,868.46,871.77,855.59,9206929,4777971875.00,1.87,0.59,5.12,0.03
2005-06-08,848.54,905.77,908.83,844.47,32907839,17414544247.00,7.69,8.18,68.49,0.10
2005-06-23,900.06,893.57,904.90,892.83,9509308,5465028353.00,1.34,-0.79,-7.08,0.03
2005-07-08,842.62,829.49,842.62,827.23,7221000,3447787083.00,1.82,-1.80,-15.24,0.02
2005-07-25,858.33,856.86,860.95,854.28,11816080,5762385031.00,0.78,-0.33,-2.83,0.04
2005-08-09,926.97,933.09,933.39,919.11,19532907,9704541246.00,1.54,0.61,5.62,0.06
2005-08-24,923.56,930.65,935.23,923.56,15959747,7736512283.00,1.26,0.78,7.24,0.05
2005-09-08,954.27,955.28,958.87,947.71,22424393,11753260243.00,1.17,0.26,2.52,0.07
2005-09-23,921.51,916.15,927.42,914.81,11547644,5549882042.00,1.37,-0.77,-7.12,0.04
2005-10-17,903.27,897.62,903.27,892.36,10552506,5516482064.00,1.21,-0.80,-7.21,0.03
2005-11-01,875.96,872.86,875.96,862.69,10082745,4762514458.00,1.51,-0.39,-3.42,0.03
2005-11-16,855.45,863.12,863.17,847.49,9066138,4185382359.00,1.83,0.76,6.48,0.03
2005-11-30,870.45,873.83,873.93,866.98,8040738,3676845309.00,0.80,0.29,2.52,0.02
2005-12-15,898.38,896.43,904.01,895.17,16259782,7498123901.00,0.98,-0.19,-1.72,0.05
