open,close,high,low,volume,amount,amplitude,change_pct,change_val,turnover
982.79,994.77,980.66,7412868.0,4431977400.0,0.0,0.0,0.0,0.02,974.33
993.22,1014.19,992.16,16974539.0,10057310300.0,2.19,-1.36,-13.69,0.05,1039.35
1003.07,1012.2,995.97,10622782.0,7153745900.0,1.6,-1.03,-10.45,0.03,934.85
974.08,982.61,971.93,10408955.0,6541675456.0,1.08,-1.31,-12.89,0.03,934.65
868.46,871.77,855.59,9206929.0,4777971875.0,1.87,0.59,5.12,0.03,848.54
893.57,904.9,892.83,9509308.0,5465028353.0,1.34,-0.79,-7.08,0.03,842.62
856.86,860.95,854.28,11816080.0,5762385031.0,0.78,-0.33,-2.83,0.04,926.97
930.65,935.23,923.56,15959747.0,7736512283.0,1.26,0.78,7.24,0.05,954.27
916.15,927.42,914.81,11547644.0,5549882042.0,1.37,-0.77,-7.12,0.04,903.27
872.86,875.96,862.69,10082745.0,4762514458.0,1.51,-0.39,-3.42,0.03,855.45
873.83,873.93,866.98,8040738.0,3676845309.0,0.8,0.29,2.52,0.02,898.38
923.45,934.0,921.83,15600251.0,8517980122.0,1.31,-0.92,-8.58,0.05,964.16
1031.61,1034.64,1021.84,22157298.0,11454695538.0,1.24,-0.07,-0.73,0.07,1046.71
1028.96,1028.96,1017.08,14842068.0,7822300458.0,1.17,1.05,10.69,0.05,1065.84
1118.61,1118.67,1091.67,33527962.0,16782531968.0,2.47,2.26,24.68,0.1,1179.58
1317.65,1365.1,1316.55,56872388.0,32747751170.0,3.53,-4.08,-56.02,0.17,1398.18
1331.55,1341.73,1326.15,25953157.0,14642393269.0,1.17,-0.15,-1.98,0.08,1423.72
1358.12,1359.56,1327.9,19966190.0,12517728783.0,2.33,0.15,2.09,0.06,1225.04
1285.68,1294.82,1282.84,19092875.0,12215591075.0,0.93,0.03,0.41,0.06,1348.17
1374.85,1393.53,1373.94,28265042.0,18173169466.0,1.41,-0.9,-12.52,0.09,1432.31
1446.24,1446.24,1428.33,35320452.0,19874454982.0,1.24,0.5,7.19,0.11,1475.44
1667.14,1672.91,1604.81,45578411.0,30895012009.0,4.14,1.41,23.13,0.14,1807.08
2041.05,2052.86,1991.88,73851947.0,55716388327.0,3.08,3.09,61.12,0.23,2292.17
2298.0,2403.62,2293.28,59377154.0,53535112102.0,4.61,-4.06,-97.17,0.18,2679.26
2640.17,2641.63,2605.23,65788908.0,62061191754.0,1.39,0.92,24.0,0.2,2787.24
